prioridade;tema/titulo_sugerido;intencao;publico;formato;dados_evidencia_necessarios;cta;diferencial
P0;Jardim das Perdizes: guia independente e atualizado 2026;informacional/comercial;comprador,locatario,investidor;pagina pilar;area do parque,horarios,produtos,precos,data,status,fontes;receber curadoria de imoveis;independencia e atualização
P0;Quanto custa morar no Jardim das Perdizes;comercial;comprador,locatario;calculadora/guia;preco,m2,condominio,IPTU,aluguel,seguro,agua/gas;simular custo total;nao apenas preco de anuncio
P0;Preço por m2 por condomínio e torre;investigacao comercial;comprador,proprietario;dashboard;amostra,area privativa,preco,andar,vista,data;pedir avaliacao;metodologia e série temporal
P0;Jardim das Perdizes: preço pedido x preço fechado;investidor;comprador,vendedor;estudo;ITBI ou dados autorizados,anuncios,descontos,metodo;solicitar analise de preço;transparencia de negociação
P0;Comparativo completo dos dez produtos;comercial;comprador;comparador interativo;metragem,quartos,vagas,entrega,condominio,vista,status;falar com especialista;matching por perfil
P0;Matriz de torres, finais, vistas e insolação;comercial;comprador alto padrao;mapa/guia;plantas,implantacao,vistas,orientação,horarios;receber shortlist;informação por unidade
P0;Valorização do Jardim das Perdizes: o que os dados permitem afirmar;investidor;investidor,vendedor;relatorio;FipeZAP,ITBI,IPCA,produto,periodo;receber estudo;cenários e limites
P0;Repasses do Bosque Pitangueiras;transacional;comprador,investidor;landing atualizada;status 100% vendido,unidade,preco,condominio,obra;ver repasses;separação primario/revenda
P0;Recanto Oliveiras: entrega, plantas e preço atualizado;transacional;comprador;ficha produto;memorial,obra,deposito,preco,data;agendar visita;área útil x comercial
P0;Reserva Figueiras pronto para morar: entrega, plantas e custos;transacional;comprador;ficha produto;entrega,RI,planta,condominio,IPTU,anuncios;agendar visita;documentação e custo total
P1;É bom morar no Jardim das Perdizes? pontos fortes e limites;informacional;morador potencial;video+artigo;rotina,ruido,acesso,parque,servicos,custos;falar com morador/consultor;equilibrio
P1;Jardim das Perdizes é seguro? câmeras, AMO e limites;informacional;morador,locatario;FAQ/entrevista;Muralha,portaria,estatistica,fonte,LGPD;receber guia;nao prometer segurança absoluta
P1;Regras do Parque Jardim das Perdizes 2026;informacional/local;morador,visitante;guia oficial;Portaria SVMA 72/2026,horarios,portoes,pets,eventos;salvar guia;fonte normativa
P1;Parque publico x areas privadas: o que é de quem;informacional;comprador,visitante;infografico/artigo;ficha municipal,condominios,AMO;pedir mapa;clareza de governança
P1;Linha 6-Laranja: distância real, status e impacto;informacional/investidor;comprador,investidor;mapa/estudo;rotas,horarios,status,anel,ITBI,FipeZAP;receber monitoramento;status datado e nao promessa
P1;Jardim das Perdizes x Perdizes x Barra Funda x Água Branca;comparativa;comprador;comparador;taxonomia,precos,aluguel,condominio,servicos;receber recomendacao;recorte hiperlocal
P1;Custo de condomínio por m2 nos edifícios;investigacao;comprador,proprietario;dashboard;condominio,area,servicos,fundo,ano;avaliar meu imovel;normalização
