semana;ativo;formato;intenção;persona;fonte ou evidência;cta;distribuição;responsável;status
1;Guia definitivo: como é morar no Jardim das Perdizes;artigo pilar + vídeo;informacional ampla;família comprador;visita de campo fontes oficiais e mapa;Receber seleção de imóveis;site YouTube GBP Instagram newsletter;broker + editor;planejado
1;Landing apartamentos à venda;hub transacional;compra;comprador;inventário autorizado atualizado;Falar no WhatsApp;site GBP portais;comercial + SEO;planejado
2;Onde fica: Perdizes Água Branca ou Barra Funda?;guia AEO + mapa;localização;comprador morador;endereços CEP fontes e mapa;Consultar imóvel por rua;site vídeo GBP;editor + broker;planejado
2;Landing apartamentos para alugar;hub transacional;locação;locatário;inventário e custos datados;Ver disponibilidade atual;site GBP portais;comercial + SEO;planejado
3;Quanto custa morar no Jardim das Perdizes?;observatório + tabela;preço e custo;comprador investidor;amostra própria com período método e limitações;Receber comparativo;site newsletter LinkedIn;broker + analista;planejado
3;Tour pelas ruas e acessos;vídeo longo + shorts;local/mobilidade;executivo família;filmagem própria transcrição e rotas;Agendar visita;YouTube Instagram site GBP;videomaker + broker;planejado
4;Guia dos condomínios e torres;hub de entidades;navegacional;comprador;nomes status e links oficiais;Comparar torres;site newsletter;editor + SEO;planejado
4;Checklist de visita;lead magnet PDF + HTML;conversão;comprador;checklist próprio e revisão;Baixar checklist;site e-mail WhatsApp;editor + comercial;planejado
5;Reserva Figueiras: perfil plantas e estoque;página de condomínio;transacional;comprador;ficha autorizada fotos visita e estoque;Ver unidades;site vídeo GBP;broker + editor;planejado
5;Custo condomínio + IPTU;guia FAQ;AEO/comercial;comprador;exemplos reais data e fonte;Calcular custo;site newsletter;editor + corretor;planejado
6;2 3 ou 4 dormitórios: para quem é cada perfil?;comparativo;comparação;família;plantas e rotina observada;Receber curadoria;site carrossel vídeo;editor + broker;planejado
6;Cinco diferenças vistas na visita;shorts + carrossel;descoberta;família;vídeo próprio;Ver página completa;Instagram YouTube site;videomaker;planejado
7;Linha 6-Laranja e Jardim das Perdizes: status 2026;atualização datada;mobilidade;executivo;LinhaUni e status verificado;Receber atualização;site GBP LinkedIn newsletter;editor;planejado
7;Guia de mobilidade carro ônibus trem e metrô;guia + mapa;local;executivo;rotas medidas e fontes;Agendar visita;site vídeo GBP;broker + editor;planejado
8;Apartamento mobiliado para alugar: custos e cuidados;guia transacional;locação;locatário;inventário e custos totais;Ver mobiliados;site Instagram e-mail;comercial + editor;planejado
8;FAQ de compra no bairro;FAQ hub;AEO;comprador;perguntas reais do CRM;Falar com especialista;site GBP newsletter;editor + comercial;planejado
9;Comparativo de condomínios por metragem e perfil;comparador;comercial;comprador;dados próprios e critérios explícitos;Receber comparativo;site vídeo LinkedIn;analista + broker;planejado
9;Parque: acessibilidade pets caminhada e infraestrutura;guia local;local;família pet;Prefeitura fotos próprias e data;Conhecer imóveis próximos;site GBP Instagram;broker + editor;planejado
10;Como vender um apartamento no Jardim das Perdizes;landing + guia;captação;proprietário;processo comparáveis e autorização;Solicitar avaliação;site LinkedIn GBP;comercial + editor;planejado
10;Case de comercialização ou visita;case + vídeo;prova;proprietário comprador;consentimento e dados não sensíveis;Falar com Broker;site Instagram LinkedIn;broker;planejado
11;Investimento: o que verificar antes de comprar para alugar;framework;investigação;investidor;cenários sem garantia e dados próprios;Solicitar diagnóstico;site newsletter LinkedIn;broker + analista;planejado
11;Como ler uma planta e comparar vista/posição;vídeo tutorial;AEO/video;comprador;demonstração própria;Receber comparativo;YouTube site Instagram;broker + videomaker;planejado
12;Relatório trimestral de anúncios e preços pedidos;relatório;mercado;investidor proprietário;amostra mediana faixa período método;Receber próxima edição;site LinkedIn imprensa newsletter;analista + editor;planejado
12;Atualização de páginas FAQs e estoque;refresh técnico;SEO;time interno;Search Console CRM e revisão de estoque;Criar alerta;site;SEO + comercial;planejado
